IdProducto,IdCategoria,Marca,Observacion,PrecioCompra,PrecioVenta,Nombre,Codigo,Stock,FechaAct,Usuario,UbicStock,StoAnt,Familia
50999,1, , ,0,0,SOPORTE DOBLE MEX MURO 19/28MM C/FIJ 2 UNI        ,40167,1000000,,,0,,4
51000,1, , ,0,0,CANDADO STANDARD 50MM                             ,614143489310,1000000,,,0,,4
51001,1, , ,0,0,SET DE BROCAS COMBINADAS MOTA 9PZA MCJ9           ,8435223409583,1000000,,,0,,4
51002,1, , ,0,0,BASURERO 9LT C/TAPA REDONDO 55X34                 ,7896359005307,1000000,,,0,,4
51003,1, , ,0,0,CANDADO STANDARD 38MM                             ,614143489303,1000000,,,0,,4
51004,1, , ,0,0,AMPOLLETA DE VELA LED E27 EMP AC220-240V 5W 3000K ,265434700530,1000000,,,0,,3
51005,1, , ,0,0,CANDADO STANDARD 32MM                             ,614143489297,1000000,,,0,,4
51006,1, ,,0,1080,BARRA-CORTIN-FIERRO-NEGRO X 1.00 MT -19 MM        ,40170,1000000,,,0,,4
51007,1, , ,0,0,CANDADO STANDARD 25MM                             ,614143489280,1000000,,,0,,4
51008,1, ,,0,2080,BARRA-CORTIN-FIERRO-NEGRO X 1.50 MT -19 MM        ,40171,1000000,,,0,,4
51009,1, , ,0,0,"DESAGUE 1 1/4"" BLANCO LARGO CON COLA              ",10135,1000000,,,0,,1
51010,1, , ,0,0,ALARGADOR ACORDEON CROMADO UNIVER. 1 1/4          ,10136,1000000,,,0,,1
51011,1, ,,0,4980,CERRADURA POMO DORMITORIO ACERO INOXIDAB          ,614143489433,1,,,1,,4
